recipient,amount
Hj2jzpAp57KyM3SmnYwJbDVrQ8tTWizMon2hhzYzwxet,212274658917585
D8kuk3qEiVBGwYkuMGKfBDwuRi6jjRkzjAZg45fdaRLx,172579639322482
Ettghfhr2kQerqAyGUuifFtBX17QecRe2gwpUZTAbZuw,50883307678205
3j1dv2SP3xtG5vcqiqTSpc9C3h4wQnnzh3aqBcx6fU7h,80049785798556
wiFDeRHa4zcPvrZzdrnBEYCWAjMTjnV2vBgQeCpWSa9,9957288108063
87sZBKaGtRseDxuSkF7pUCERd3Hs98ESRJVipdscTCXc,80028401139646
AoUwfPuiEek2thVRDhMP7HbQb9rguyab4rDiz2NAfwwA,482323883142123
4JTfCRjd6SzZdoKqdvStHvaKHBYCe9iENAnG4iDTrGW2,84164035249091
Asugaagtr1sPMXrspRyNzHEGExdAwWafL7QSHjPyMFJU,269027514392332
ATLASnUj1UaihWWVDRBJm9zcD1Wu76Yd3HamUpT5ggdB,150497727144
2mMGsb5uy1Q4Dvezr8HK2E8SJoChcb2X7b61tJPaVHHd,855525742468896
CVAAQGA8GBzKi4kLdmpDuJnpkSik6PMWSvRk3RDds9K8,30450379210384
GFXVa19rX6iwfs3sLS5UvX9Exu2usRsG4V5MRMDRo23V,12311621288304
vALigXFg9wnnhVHN16vNxHxXtAXiBv5QjAE6udoniBY,276667641206119
HnwMGBAw5PxaX56eSYc969MorEy2NzEMPLkmBkdnJmeq,256629297209791
BfgMdL4FaNHp5zZpD7WMYG5sZUrCWQPEjXDwWS7M5q3F,831639415606284
GzK6vbP3fejCMqja1veNtN3kF3s8KubDCwApnkVeyGt4,51684695301334
7PdKhpKz7T39vZHFL1UfcYNDsLvay6hp4KPQq1aUckFf,771145025413603
4akzqFZ7aMcnEwURTJKJZ6Mg3ERQCSY3h6W4GtZNRpMP,61442332676049
BtJei4AagS2viyJPYVT8FVhRiDKW5YyusQuqjVbtG3Hs,167440662357272
GSTampk6BJRKSDkzhaMM49R7qRx98MTPYYWvKbp83XKc,2502415688586068
3iQqh65Gby53aaYUF8ocoiEyhBs4aoe7BTYYWvy1c9dF,14508969276490
9r2CsyjRTmTRtu8GFk5oJRSQr5YfSENxDkf3eox8iPLa,289264935730393
GbEV1RH2cGDWLXXUEFJ8ryP3B1guHjkQ5LPkhes8BsME,21336543799130
BSNJGveGPVYzdt2bhTh3YfqbzWPH5Sq38zT1Br88Pn1N,46471534714108
G1bLKfyNm7zsmmYEL9dyxBvMtxpFcwy2s84bHDj2ZFUY,509443206312790
2abwQG3v2xRemFxRszVHSfnjJNe9zu5X8duKgxjyLeaK,68781827805463
C8H7mCWTYDX3LJUgAH5hqmVUQAwdAyHpybTZgvfCJDaM,76220051672090
AfZTWYoFQbzqCMmUBTD7XwxFvjob1FVyCvkaXRryxtKc,197112219144382
AB821LfpFBwedJEfoNFZRsiPvcSxXPBNMgjyGC7RuNfS,172944134903595
FLVgaCPvSGFguumN9ao188izB4K4rxSWzkHneQMtkwQJ,16080136152617
2iXZmNQmmgE5ZeTQ1GMhhYGDqDr2BiqdEu3DbGJDo8MA,80029241249923
DZVqmD4QqSWM2gUyEXdQhvt4u3NZtCRxdsn2n2nNiBRL,355546511690094
memeSJj41yAk4s3BgzCURhzFkMptBDkNtfcgysRCrGA,8620265428157
2EutAcbv7T8it6PfPQ7HbK2KFMnMC6anwkX6C3RifE5M,65484294730959
7dg3h28P6giT3bw3yrHkKdEHayjUzbkZ8Tex16Ngm7Nb,997717127
puffinQSvKFriPbyE5atyx1ptfnyytovbzxybr1jsyy,187474510549177
6122X5K3mo8QMwXZW6wnP2n1j2wQoa1Ks21Ckwj7L6st,69608539413035
F1REzm2dJW1wfj2yHjCMV3FxVs8TXQG9qoW4MFEz6uYo,1997717123
DnCMFNX4EEJENyXq5S29WCBXvpQLG6mkBfU5aVSnvYa8,73780767710124
1i1yPyh843bTfi5qPgqozTbDcEX65rUNEFcUT2KAs2i,180865937691004
Crg1X8FftV44NmwfFvgREjanBQmyyS7NEu6duLU7Cyy6,192187967148315
BiU1DNow77wGwSXW1bLmkcQe2cuySpkbz7xtbitD9Fmk,213638156318645
1KXvrkPXwkGF6NK1zyzVuJqbXfpenPVPP6hoiK9bsK3,404865373086580
TopjgY7N1fJdnW89S9fX6t7LF61nspgXGL1NpgAKhDG,33042229865015
2v81fFwWjjsmXjDhJNkhrrZLSpUsmCwTZMjYSCw8F7rp,11297185115
3fHDpgV7GG2fRirqYNFvAUfH5BnbQnRYDqeJBpVFKm8s,87700803034481
6VN8L6FarZeVt2ZnJR1n3ausGVHYSfZZE9sUwwgGLzmk,2061241733714
A1vqhA2fS6K7CvHsJKX1ACcHJFEmyRg4KuR5pctHANy4,1472738866553632
bonkcbAQvHpYWxEG63E8ufTB1cxkkk9eAKaPdGePE88,225199143535029
3Rv6ZVGUuRczP76322LyhTTYw2iM4avV4B5xFJocQJer,205646057513846
55Bp7VEw2WgTRNpK1diKKo9y29edeUm4kmzUaLUJn6t5,187637085048917
8augxYLUge2iWmitQMwbcBL5VQEpsM6aJdRofhwpnzyw,188264083216596
xx6jU8CRzoUCT2RNCoomRqAokWmvgVymxRKtyfvQ4CG,16262930912909
2E2JPuFhjkQvEJEeNGqVSwGLJa5GoFqabQTutGjg1bzw,195884548900551
5Us18hLZPXJTS4QVuGSsUw137Dyd2tgBaem24Xsf5nBS,1207979324901175
5LNEDitSMhApT2uFnmtN7FmjCiGuatpnb2uU4f3shrk,28592782722456
