recipient,amount
radM7PKUpZwJ9bYPAJ7V8FXHeUmH1zim6iaXUKkftP9,234040090966332
43t4YbjyH2XCnifhBibxhzQEpcLrk7PFS9719DHMSFfA,24972611619032
GSTampk6BJRKSDkzhaMM49R7qRx98MTPYYWvKbp83XKc,2502415687586068
H5EhFXGKY29BNcDbz2k2pcBeRiFXXGLQ9exHmirfRuFn,20219464196507
9j7JiFdRtcenL3dBgRQRaiS8khGaxSUozrCmKdAfnmjh,20146964765205
451X5rboJpJtXK2gj4dLsXv8yCGfujqus2HsYjMkkSpE,20224587361738
4nGV3oRHi9Fkk7HwakFS1ZjVq6U7M2v1p5xLrAbYLQtZ,145493817618547
2ZS2DGFRDD7WWSzqkaPoqURVknoMdFVFWDdBRKNZuqct,21645682185154
5gYoQH651psGZQMVoW6Suvwsz1GNhbQgN4NXYKqd6d4Q,20880915104736
5rNErxSxMj3WysMx8bC8vHkbrt9QmwMeG9H6aTp71485,20232841634879
ACvL73V4GNnxPVfZ7K89jCrYurLyzpEuE9qirjvh2Xmi,278939535808532
GQiWnDYrzHMALWG9avt5FCu1wisAQHjGY5ve7GMBiPEe,201801332355408
Gd33fENP1XsBimff41s1EWrs2kmqfGQqEJ5CQPQB3Jwy,74369436821014
LytENd5zY8d2nG1o5r4oz1CX5oHv1W13HkMmPgo8MUg,121350219728133
FFCXUpP3sSBBvXu4t6uoezRWfBBMxNf3juYJa4besVUs,18464155797937
2icWF7TvxyycF7d1NHpMZYuJJqiRy2h7wmjFSbqUij1B,52811022567752
bookoVmqw4QjVj5BbkFacouadx9M7816wyRkfM7A5Lo,47034715088242
3ddX9QcC6DjFqPTysrFWtR48v5g3wJjB862sji4s5Tui,20187892013025
8quzaRSxgKQr5HaxcLHXk4JqqMhb2J4PGokqjzy1MFDj,84214309698177
9CJKNW77HfjZf2jrUpdecDub6a5cb1MtVFv7hrXAeVwb,20243708357789
8MZFWowte8pHb6zJXxUdogUfdWRbqu7fGvaWRXtkDP7X,26815844581275
CQY7Va3CRCiwEw3ZEvdtZDzqK8A1ABnqq7Cte5zpGMnW,1142319984
